close,datetime,high,low,open,volume
3832.443,2019/5/23 14:04,3834.378,3830.47,3834.377,24802
3826.685,2019/5/23 14:09,3833.387,3824.911,3830.65,47356
3828.767,2019/5/23 14:14,3832.383,3825.907,3831.439,36502
3832.753,2019/5/23 14:19,3833.626,3827.729,3832.798,19210
3837.243,2019/5/23 14:24,3837.248,3831.809,3835.153,26774
3837.671,2019/5/23 14:29,3840.018,3835.844,3836.681,36962
3832.823,2019/5/23 14:34,3840.812,3831.949,3835.7,43554
3833.599,2019/5/23 14:39,3835.53,3827.857,3832.605,48616
3832.467,2019/5/23 14:44,3834.497,3829.835,3830.943,18404
3830.817,2019/5/23 14:49,3834.114,3829.793,3831.761,23960
3825.745,2019/5/23 14:54,3832.546,3819.374,3824.96,97200
3812.372,2019/5/23 14:59,3825.925,3810.751,3815.542,143748
3798.819,2019/5/23 21:04,3808.569,3790.549,3796.935,270190
3789.492,2019/5/23 21:09,3799.585,3786.496,3790.414,144754
3790.602,2019/5/23 21:14,3795.869,3789.445,3791.589,53762
3782.875,2019/5/23 21:19,3793.316,3782.093,3786.842,92772
3781.527,2019/5/23 21:24,3785.961,3777.188,3777.507,152794
3788.176,2019/5/23 21:29,3789.118,3780.791,3786.974,73476
3792.919,2019/5/23 21:34,3797.352,3787.193,3795.42,99392
3795.04,2019/5/23 21:39,3796.197,3791.603,3795.239,38310
3791.23,2019/5/23 21:44,3796.038,3789.628,3792.431,29626
3794.244,2019/5/23 21:49,3794.417,3788.466,3793.427,37590
3791.273,2019/5/23 21:54,3794.252,3789.51,3790.448,17812
3791.296,2019/5/23 21:59,3792.238,3787.598,3791.296,23818
3792.954,2019/5/23 22:04,3793.001,3788.351,3790.441,24170
3783.013,2019/5/23 22:09,3792.269,3782.848,3785.603,44528
3783.127,2019/5/23 22:14,3786.902,3782.255,3785.79,40492
3784.759,2019/5/23 22:19,3785.346,3778.935,3782.781,69222
3776.504,2019/5/23 22:24,3784.761,3774.4,3776.119,87024
3764.663,2019/5/23 22:29,3780.229,3758.03,3761.595,214484
3768.865,2019/5/23 22:34,3769.856,3758.772,3769.032,87548
3770.639,2019/5/23 22:39,3777.324,3768.753,3771.589,82112
3772.042,2019/5/23 22:44,3772.984,3766.56,3770.111,35240
3773.439,2019/5/23 22:49,3776.037,3769.975,3770.565,33128
3770.419,2019/5/23 22:54,3775.212,3766.669,3767.826,29068
3770.67,2019/5/23 22:59,3772.696,3767.661,3770.87,35524
3786.244,2019/5/24 9:04,3788.952,3768.461,3785.861,151446
3780.272,2019/5/24 9:09,3787.872,3779.892,3781.004,53658
3788.034,2019/5/24 9:14,3791.505,3779.997,3786.922,86976
3790.935,2019/5/24 9:19,3793.774,3785.888,3791.095,73264
3792.857,2019/5/24 9:24,3794.681,3789.217,3791.918,53612
3791.162,2019/5/24 9:29,3794.841,3790.154,3791.828,47216
3799.411,2019/5/24 9:34,3803.203,3791.21,3799.241,122370
3814.544,2019/5/24 9:39,3820.955,3797.644,3813.285,173414
3804.868,2019/5/24 9:44,3818.237,3804.868,3811.019,98260
3801.569,2019/5/24 9:49,3808.048,3800.579,3800.744,77664
3795.855,2019/5/24 9:54,3806.963,3793.145,3794.044,73512
3793.76,2019/5/24 9:59,3799.563,3793.713,3795.479,36992
3798.798,2019/5/24 10:04,3803.481,3792.987,3800.564,45500
3802.969,2019/5/24 10:09,3804.693,3798.744,3802.147,19060
3802.663,2019/5/24 10:14,3805.159,3798.425,3804.122,23188
3804.534,2019/5/24 10:34,3806.243,3801.509,3803.592,21856
3807.464,2019/5/24 10:39,3809.443,3804.324,3807.582,27198
3809.543,2019/5/24 10:44,3811.262,3805.575,3808.766,39884
3809.031,2019/5/24 10:49,3813.245,3807.265,3810.068,37618
3811.842,2019/5/24 10:54,3814.061,3807.517,3811.957,23558
3809.252,2019/5/24 10:59,3812.996,3809.252,3810.359,14294
3801.798,2019/5/24 11:04,3810.978,3800.691,3804.341,43582
3805.495,2019/5/24 11:09,3806.369,3800.856,3806.319,30278
3810.177,2019/5/24 11:14,3810.342,3804.383,3808.128,21512
3811.559,2019/5/24 11:19,3812.993,3809.453,3811.394,25660
3808.628,2019/5/24 11:24,3812.378,3804.923,3806.909,20526
3808.202,2019/5/24 11:29,3811.555,3802.985,3808.367,41538
3803.018,2019/5/24 13:34,3808.624,3802.043,3806.678,40866
