id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
180,6-82,2019/1/2 5:50,9.712936158,1665.265558,1771.180849,0.03658603
181,6-82,2019/1/2 6:00,9.830514635,1693.337517,1770.649738,0.083367489
182,6-82,2019/1/2 6:10,8.996494759,1336.377581,1757.989307,0.030002212
183,6-82,2019/1/2 6:20,8.970959164,1448.935406,1766.351743,0.030002212
184,6-82,2019/1/2 6:30,9.120054014,1408.484653,1769.588262,0.030002212
185,6-82,2019/1/2 6:40,8.255702789,1075.621833,1664.327825,0.030002212
186,6-82,2019/1/2 6:50,7.736388473,850.7195705,1554.801164,0.030002212
187,6-82,2019/1/2 7:00,8.518905393,1065.493593,1670.937703,0.030002212
188,6-82,2019/1/2 7:10,8.455161773,1055.036331,1666.202264,0.030002212
189,6-82,2019/1/2 7:20,8.041726922,825.2878033,1539.374539,0.030002212
190,6-82,2019/1/2 7:30,7.278099218,570.0830591,1362.091676,0.030002212
191,6-82,2019/1/2 7:40,6.876997163,519.7685862,1321.437937,0.030002212
192,6-82,2019/1/2 7:50,6.753351856,549.5753376,1344.331652,0.030002212
193,6-82,2019/1/2 8:00,6.658242995,568.6491701,1358.784154,0.030002212
194,6-82,2019/1/2 8:10,7.208501941,705.9629738,1455.224546,0.030002212
195,6-82,2019/1/2 8:20,7.560314776,720.0126899,1469.25508,0.030002212
196,6-82,2019/1/2 8:30,7.053367124,622.6694563,1408.359408,0.030002212
197,6-82,2019/1/2 8:40,7.231176314,630.7265684,1414.568927,0.030002212
198,6-82,2019/1/2 8:50,7.357367579,667.8064137,1439.545911,0.030002212
199,6-82,2019/1/2 9:00,7.111510363,609.1177023,1395.477911,0.030002212
200,6-82,2019/1/2 9:10,6.615170684,488.8591984,1301.576007,0.030002212
201,6-82,2019/1/2 9:20,6.334918778,422.1763686,1236.629689,0.030002212
202,6-82,2019/1/2 9:30,5.206256197,223.0437866,1085.023057,0.030002212
203,6-82,2019/1/2 9:40,4.860378063,183.4644731,1073.497028,0.030002212
204,6-82,2019/1/2 9:50,4.650349192,153.542123,1072.93992,0.030002212
205,6-82,2019/1/2 10:00,4.761580276,149.9229843,1074.064101,0.030002212
206,6-82,2019/1/2 10:10,4.727749379,165.4399253,1072.81474,0.030002212
207,6-82,2019/1/2 10:20,4.31653163,97.78784513,1072.459907,0.030002212
208,6-82,2019/1/2 10:30,2.45713076,-20.44323495,235.5269965,69.95890729
209,6-82,2019/1/2 10:40,2.147931421,-19.8919168,1.057015046,88.98656
210,6-82,2019/1/2 10:50,2.522168562,-6.850752997,0.575166659,88.98656
211,6-82,2019/1/2 11:00,2.61734022,-5.264199787,1.140747212,88.98656
212,6-82,2019/1/2 11:10,2.129811811,-4.686204827,6.483025542,88.98656
213,6-82,2019/1/2 11:20,1.945137046,-4.517252464,0.822399151,88.98656
214,6-82,2019/1/2 11:30,1.827913844,-4.792911594,-0.003316122,88.98656
215,6-82,2019/1/2 11:40,1.704564786,-4.632851447,-1.284169659,88.98656
216,6-82,2019/1/2 11:50,2.138909849,-4.952971719,0.586954228,88.98656
217,6-82,2019/1/2 12:00,1.877752336,-4.561713617,1.936617365,88.98656
218,6-82,2019/1/2 12:10,2.096095561,-4.437222402,-1.52956295,88.98656
219,6-82,2019/1/2 12:20,2.662247418,-5.077462949,-0.397106025,88.98656
220,6-82,2019/1/2 12:30,2.410914268,-4.659528152,0.386328614,88.98656
221,6-82,2019/1/2 12:40,2.21807802,-4.526144701,0.495760794,88.98656
222,6-82,2019/1/2 12:50,2.500355962,-4.472791323,0.025699905,88.98656
223,6-82,2019/1/2 13:00,2.623657234,-5.29976872,0.612654212,88.98656
224,6-82,2019/1/2 13:10,2.213595894,-5.619889019,-1.601688727,88.98656
225,6-82,2019/1/2 13:20,2.386076258,-6.117853918,2.119004283,88.98656
226,6-82,2019/1/2 13:30,1.852484265,-2.774375537,-1.604175774,88.98656
227,6-82,2019/1/2 13:40,2.567654634,-4.855157372,1.851227134,88.98656
228,6-82,2019/1/2 13:50,3.152298802,-1.582816832,2.366055656,88.98656
229,6-82,2019/1/2 14:00,2.162696617,-2.178596178,0.872970074,88.98656
230,6-82,2019/1/2 14:10,3.423615146,-1.289373258,-1.566869373,88.98656
231,6-82,2019/1/2 14:20,3.25105834,-6.206776261,-1.115047223,88.98656
232,6-82,2019/1/2 14:30,3.085563984,-0.560210451,1.502204914,88.98656
233,6-82,2019/1/2 14:40,3.084235577,-0.50685707,-0.540528466,88.98656
234,6-82,2019/1/2 14:50,3.010763246,-1.307157691,4.351585811,88.98656
235,6-82,2019/1/2 15:00,3.4147847,-3.227879172,3.848363828,88.98656
236,6-82,2019/1/2 15:10,4.172836253,70.84439056,865.9432191,12.40933127
237,6-82,2019/1/2 15:20,4.384671338,115.8390697,1073.017027,0.050003685
238,6-82,2019/1/2 15:30,4.327302118,120.6853353,1074.075707,0.050003685
239,6-82,2019/1/2 15:40,4.922191115,185.7497769,1073.650402,0.050003685
240,6-82,2019/1/2 15:50,4.89238363,198.9369524,1073.028627,0.050003685
241,6-82,2019/1/2 16:00,4.890481841,195.0777242,1073.669477,0.050003685
242,6-82,2019/1/2 16:10,4.838827541,174.3410472,1073.873409,0.050003685
243,6-82,2019/1/2 16:20,4.771968478,178.1024581,1072.863638,0.050003685
244,6-82,2019/1/2 16:30,4.089625522,93.72409631,1073.024477,0.050003685
245,6-82,2019/1/2 16:40,4.108997111,67.95441543,1073.30635,0.050003685
246,6-82,2019/1/2 16:50,4.544441215,122.5082414,1073.654554,0.050003685
247,6-82,2019/1/2 17:00,4.758178047,142.3823739,1073.653717,0.050003685
248,6-82,2019/1/2 17:10,4.879090152,177.8179085,1073.754022,0.050003685
249,6-82,2019/1/2 17:20,5.224318419,207.7046912,1073.269878,0.050003685
250,6-82,2019/1/2 17:30,4.862547421,172.2335872,1072.818888,0.050003685
251,6-82,2019/1/2 17:40,4.226506987,110.4325941,1073.057637,0.050003685
252,6-82,2019/1/2 17:50,4.523722147,138.2563803,1073.746573,0.050003685
253,6-82,2019/1/2 18:00,5.058709428,177.6934169,1073.720873,0.050003685
254,6-82,2019/1/2 18:10,5.605508857,259.3151916,1082.384247,0.050003685
255,6-82,2019/1/2 18:20,5.265164007,192.5256562,1072.847065,0.050003685
256,6-82,2019/1/2 18:30,5.111586935,193.4326637,1073.31298,0.050003685
257,6-82,2019/1/2 18:40,4.681781346,158.5217706,1073.052667,0.050003685
258,6-82,2019/1/2 18:50,4.889784159,157.099014,1074.007708,0.050003685
259,6-82,2019/1/2 19:00,5.216902416,176.6885955,1073.001265,0.050003685
260,6-82,2019/1/2 19:10,3.899321881,62.21003561,1072.50799,0.050003685
261,6-82,2019/1/2 19:20,3.330398536,24.69372058,1073.143027,0.050003685
262,6-82,2019/1/2 19:30,3.198056565,4.161563293,1072.056177,0.050003685
263,6-82,2019/1/2 19:40,3.678809227,41.51781851,1074.067409,0.050003685
264,6-82,2019/1/2 19:50,4.11991091,94.71113341,1073.585736,0.050003685
265,6-82,2019/1/2 20:00,3.442384638,30.66040625,1072.902605,0.050003685
266,6-82,2019/1/2 20:10,3.491879066,43.45632418,1073.55672,0.050003685
267,6-82,2019/1/2 20:20,4.002487059,86.40579163,1073.719203,0.050003685
268,6-82,2019/1/2 20:30,4.20639956,99.99311723,1073.577448,0.050003685
269,6-82,2019/1/2 20:40,4.432197064,146.2504922,1073.605631,0.050003685
270,6-82,2019/1/2 20:50,4.611510509,166.9427114,1074.097259,0.050003685
271,6-82,2019/1/2 21:00,6.178474618,359.1126784,1187.46564,0.050003685
272,6-82,2019/1/2 21:10,6.379395925,448.0972178,1267.806241,0.050003685
273,6-82,2019/1/2 21:20,6.441103882,479.1222066,1294.931325,0.050003685
274,6-82,2019/1/2 21:30,6.596898144,488.8325223,1301.302432,0.050003685
275,6-82,2019/1/2 21:40,6.440759855,431.6554865,1243.452608,0.050003685
276,6-82,2019/1/2 21:50,6.028213767,360.2864531,1174.211088,0.050003685
277,6-82,2019/1/2 22:00,5.416351921,249.7026917,1082.14797,0.050003685
278,6-82,2019/1/2 22:10,5.738643998,318.8931266,1132.899629,0.050003685
279,6-82,2019/1/2 22:20,6.193631711,436.2883364,1244.014697,0.050003685
280,6-82,2019/1/2 22:30,6.33966849,427.2449379,1240.837852,0.050003685
281,6-82,2019/1/2 22:40,4.992089287,176.4040442,1078.109763,0.050003685
282,6-82,2019/1/2 22:50,5.277960508,198.5901534,1074.124611,0.050003685
283,6-82,2019/1/2 23:00,5.479445637,256.4252141,1084.874659,0.050003685
284,6-82,2019/1/2 23:10,4.936583635,171.0509233,1073.172042,0.050003685
285,6-82,2019/1/2 23:20,5.068438174,185.1184275,1073.848538,0.050003685
